Years At Western,Time Type,Job Family,Department,Race Ethnicity,Veteran Status,Veteran Status (External),Disability Status,Disability Status (External),Age,Gender
24,Full time,Administrative,Accounting,Black or African American ,Not Specified,Not Specified,Not Specified,Not Specified,23,Female
23,Full time,Administrative,Accounting,Black or African American ,Not Specified,Not Specified,Not Specified,Not Specified,23,Female
23,Full time,Administrative,Accounting,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
23,Full time,Administrative,Admissions,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
23,Full time,Administrative,Admissions,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
23,Full time,Administrative,Admissions,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
21,Full time,Administrative,Admissions,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
21,Full time,Administrative,Admissions,Black or African American ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
20,Full time,Administrative,Admissions,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
20,Full time,Administrative,Admissions,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
20,Full time,Administrative,Admissions,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
20,Full time,Administrative,Admissions,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
20,Full time,Administrative,Admissions,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
19,Full time,Administrative,Advancement,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
19,Full time,Administrative,Advancement,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
19,Full time,Administrative,Advancement,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
19,Full time,Administrative,Advancement,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
19,Full time,Administrative,Advancement,I do not wish to answer. ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
18,Full time,Administrative,Advancement,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",24,Female
18,Full time,Administrative,Advancement,Two or More Races ,Not Specified,Not Specified,Not Specified,Not Specified,24,Female
18,Full time,Administrative,Alumni Relations,Two or More Races ,Not Specified,Not Specified,Not Specified,Not Specified,25,Female
18,Full time,Administrative,Art,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
18,Full time,Administrative,Art,Two or More Races ,Not Specified,Not Specified,Not Specified,Not Specified,25,Female
18,Full time,Administrative,Art,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
18,Full time,Administrative,Art,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Art,Two or More Races ,Not Specified,7 - Other Protected Veterans (United States of America),Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Art,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,Not Specified,25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
17,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",25,Female
16,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
16,Full time,Administrative,Athletics,Two or More Races ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
16,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
16,Full time,Administrative,Athletics,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
16,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
16,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
16,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
16,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
15,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
15,Full time,Administrative,Athletics,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
15,Full time,Administrative,Athletics -  Communications,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
14,Full time,Administrative,Athletics - Business Operations,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,26,Female
14,Full time,Administrative,Athletics - Business Operations,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
14,Full time,Administrative,Athletics - Cross Country,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",26,Female
14,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
14,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,Not Specified,26,Female
14,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",26,Female
14,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
13,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
13,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",27,Female
13,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
13,Full time,Administrative,Athletics - Football,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",27,Female
13,Full time,Administrative,Athletics - Men's Basketball,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
12,Full time,Administrative,Athletics - Men's Wrestling,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
12,Full time,Administrative,Athletics - Men's Wrestling,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
12,Full time,Administrative,Athletics - Men's Wrestling,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
12,Full time,Administrative,Athletics - Track and Field,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",27,Female
12,Full time,Administrative,Athletics - Track and Field,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",27,Female
12,Full time,Administrative,Athletics - Women's Basketball,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",27,Female
11,Full time,Administrative,Athletics - Women's Swimming and Diving,White ,Not Specified,Not Specified,Not Specified,Not Specified,27,Female
11,Full time,Administrative,Athletics - Women's Swimming and Diving,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",27,Female
10,Full time,Administrative,Athletics - Women's Volleyball,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",28,Female
10,Full time,Administrative,Athletics - Women's Volleyball,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
10,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",28,Female
10,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
10,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,28,Female
10,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,7 - Other Protected Veterans (United States of America),Not Specified,Not Specified,28,Female
10,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,7 - Other Protected Veterans (United States of America),Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",28,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,29,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,29,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,29,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,29,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",29,Female
9,Full time,Administrative,Behavioral and Social Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,29,Female
9,Full time,Administrative,Bookstore,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",29,Female
9,Full time,Administrative,Bookstore,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",29,Female
9,Full time,Administrative,Bookstore,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",29,Female
8,Full time,Administrative,Bookstore,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",29,Female
8,Full time,Administrative,Bookstore,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",29,Female
8,Full time,Administrative,Bookstore,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",29,Female
8,Full time,Administrative,Business Services - University Center,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",30,Female
8,Full time,Administrative,Business Services - University Center,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",30,Female
8,Full time,Administrative,Campus Operations and Construction,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",30,Female
8,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,Not Specified,30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,Not Specified,30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,Not Specified,30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,Not Specified,30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,Not Specified,30,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",31,Female
7,Full time,Administrative,Campus Operations and Construction,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",31,Female
7,Full time,Administrative,Campus Recreation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",31,Female
7,Full time,Administrative,Campus Recreation,White ,Not Specified,Not Specified,Not Specified,Not Specified,31,Female
6,Full time,Administrative,Campus Recreation,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",31,Female
6,Full time,Administrative,Campus Recreation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",31,Female
6,Full time,Administrative,Campus Recreation - Club Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",31,Female
6,Full time,Administrative,Campus Recreation - Club Sports,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",31,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past","YES, I HAVE A DISABILITY (or previously had a disability)",31,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,31,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountain Sports,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountaineer Field House,White ,Not Specified,Not Specified,Not Specified,Not Specified,32,Female
6,Full time,Administrative,Campus Recreation - Mountaineer Field House,White ,Not Specified,Not Specified,Not Specified,Not Specified,33,Female
6,Full time,Administrative,Campus Recreation - Mountaineer Field House,White ,Not Specified,Not Specified,Not Specified,Not Specified,33,Female
6,Full time,Administrative,Campus Recreation - Wilderness Pursuits,White ,Not Specified,Not Specified,Not Specified,Not Specified,33,Female
6,Full time,Administrative,Campus Recreation - Wilderness Pursuits,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",33,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",33,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",33,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,7 - Other Protected Veterans (United States of America),Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,7 - Other Protected Veterans (United States of America),Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Center for Learning and Innovation,White ,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",34,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,34,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,35,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,35,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,35,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",35,Female
5,Full time,Administrative,Clark School of Environment and Sustainability,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",35,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,36,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,Not Specified,37,Female
4,Full time,Administrative,Clark School of Environment and Sustainability,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",38,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
