Race/Ethnicity,Gender,Employee Type,Years At Western
Black,Not Declared,Professional,12
Asian,Female,State Classified,5
Black,Female,State Classified,4
Asian,Male,Academic,2
Asian,Female,State Classified,12
TBD - S,Not Declared,Academic,9
Black,Male,Professional,7
Asian,Female,State Classified,3
Asian,Non Binary,State Classified,1
TBD - S,Non Binary,Professional,5
TBD - I,Female,Professional,0
Black,Non Binary,Professional,11
White,Non Binary,Professional,0
TBD - P,Male,Professional,4
Black,Male,State Classified,5
TBD - U,Male,Professional,8
Asian,Female,Professional,12
TBD - P,Female,Professional,11
TBD - U,Female,State Classified,9
TBD - U,Not Declared,Professional,1
Hispanic,Male,State Classified,8
Asian,Female,Professional,3
TBD - P,Male,Professional,8
Hispanic,Male,Professional,4
Asian,Not Declared,State Classified,1
Hispanic,Female,Professional,0
Asian,Female,State Classified,9
Black,Female,Academic,6
Asian,Not Declared,State Classified,5
White,Male,State Classified,5
Hispanic,Female,Professional,13
Hispanic,Non Binary,Professional,3
Hispanic,Female,Professional,4
Hispanic,Female,Professional,2
Hispanic,Male,Professional,5
White,Female,Professional,10
Asian,Non Binary,State Classified,6
TBD - S,Female,Academic,2
Black,Male,Academic,4
TBD - U,Male,Professional,1
Black,Female,Academic,0
Asian,Female,Academic,5
Black,Male,Professional,4
Black,Female,Professional,3
TBD - S,Non Binary,Professional,2
Asian,Non Binary,Professional,8
Hispanic,Not Declared,Professional,7
White,Not Declared,State Classified,9
TBD - U,Not Declared,Professional,3
Asian,Male,Professional,11
Asian,Non Binary,Professional,4
TBD - P,Not Declared,Professional,6
TBD - I,Female,Professional,0
TBD - S,Female,State Classified,0
TBD - S,Female,State Classified,11
Asian,Non Binary,Professional,12
TBD - U,Male,Professional,9
Asian,Female,Professional,5
TBD - P,Non Binary,Academic,0
TBD - U,Non Binary,Academic,13
Hispanic,Non Binary,Academic,1
Asian,Female,Professional,11
Black,Male,Academic,8
Black,Not Declared,Academic,7
TBD - I,Female,Academic,5
TBD - I,Female,Professional,11
Hispanic,Not Declared,Academic,4
TBD - I,Non Binary,State Classified,11
Black,Not Declared,State Classified,3
Asian,Female,State Classified,6
White,Female,State Classified,5
TBD - S,Not Declared,Academic,9
White,Female,State Classified,4
TBD - S,Non Binary,State Classified,3
TBD - S,Non Binary,Academic,2
Asian,Not Declared,Professional,12
Black,Not Declared,Academic,4
Hispanic,Female,Academic,4
White,Male,Professional,5
Black,Male,Academic,5
White,Female,Professional,11
Asian,Female,State Classified,9
Asian,Female,State Classified,12
TBD - P,Not Declared,Professional,9
TBD - I,Female,State Classified,8
Hispanic,Non Binary,Academic,11
Asian,Female,Professional,11
TBD - S,Female,Professional,2
White,Female,State Classified,9
Asian,Female,Academic,11
TBD - I,Male,Academic,0
Hispanic,Female,Professional,10
Black,Not Declared,Academic,4
Asian,Female,State Classified,11
White,Female,Professional,1
Hispanic,Female,State Classified,4
TBD - S,Male,Professional,2
White,Male,Professional,7
Hispanic,Not Declared,Professional,8
Hispanic,Female,Academic,8
Asian,Non Binary,Professional,0
Hispanic,Non Binary,Professional,12
TBD - U,Not Declared,Professional,13
TBD - U,Female,Academic,5
TBD - P,Male,State Classified,3
White,Female,Academic,2
Asian,Female,Professional,2
TBD - U,Female,Professional,3
Asian,Male,Professional,11
TBD - U,Female,Professional,9
White,Not Declared,State Classified,3
TBD - I,Female,Professional,10
Asian,Non Binary,Professional,6
Hispanic,Non Binary,Professional,5
Asian,Female,Professional,12
Asian,Non Binary,Professional,3
Black,Female,Professional,0
TBD - U,Female,Professional,2
Asian,Non Binary,Professional,9
TBD - S,Female,Academic,10
Asian,Male,Academic,1
TBD - I,Not Declared,Professional,11
TBD - I,Female,Professional,3
TBD - S,Not Declared,Professional,2
TBD - S,Non Binary,Professional,9
TBD - P,Female,Academic,10
Asian,Not Declared,Professional,8
White,Female,State Classified,1
Asian,Female,Professional,2
Asian,Non Binary,Academic,0
Hispanic,Not Declared,Professional,1
TBD - U,Non Binary,Academic,8
Asian,Female,Professional,4
Hispanic,Male,State Classified,8
Hispanic,Female,Academic,9
TBD - I,Female,Professional,1
Black,Not Declared,Professional,12
TBD - I,Male,Professional,1
Asian,Male,Academic,0
TBD - S,Not Declared,Professional,8
TBD - U,Female,Professional,7
Hispanic,Non Binary,Professional,10
Black,Male,Professional,12
White,Female,Academic,9
TBD - S,Male,Professional,7
TBD - S,Female,Professional,3
White,Non Binary,State Classified,12
Asian,Not Declared,State Classified,3
TBD - U,Not Declared,Professional,7
Hispanic,Non Binary,State Classified,5
TBD - P,Female,Academic,13
White,Female,Professional,6
Black,Male,Professional,5
TBD - P,Not Declared,State Classified,10
TBD - I,Non Binary,Academic,5
White,Not Declared,Professional,8
Asian,Not Declared,Academic,9
TBD - P,Female,Professional,0
White,Not Declared,Professional,5
Asian,Female,Professional,6
TBD - P,Not Declared,Professional,1
Asian,Female,Academic,9
TBD - I,Male,Academic,11
Black,Female,Professional,6
White,Not Declared,State Classified,7
Hispanic,Female,Professional,7
Hispanic,Non Binary,Academic,13
TBD - I,Non Binary,Professional,6
Hispanic,Not Declared,State Classified,7
TBD - P,Male,State Classified,12
Asian,Not Declared,Professional,5
White,Non Binary,Professional,10
Asian,Non Binary,State Classified,7
TBD - U,Male,Professional,13
TBD - S,Female,Academic,13
Black,Female,Professional,2
White,Male,State Classified,4
TBD - P,Not Declared,Professional,6
Hispanic,Female,Academic,13
Asian,Non Binary,State Classified,7
Asian,Male,State Classified,9
Black,Female,Academic,6
TBD - S,Female,Professional,3
TBD - P,Male,Professional,0
TBD - P,Non Binary,Professional,2
White,Female,Professional,11
Asian,Not Declared,Academic,8
TBD - S,Female,Academic,10
White,Male,State Classified,4
Hispanic,Female,Academic,4
TBD - I,Non Binary,Professional,4
Hispanic,Female,Professional,1
TBD - U,Female,Academic,4
Black,Female,Professional,10
TBD - U,Female,Academic,0
Hispanic,Female,State Classified,8
TBD - U,Not Declared,Professional,0
Hispanic,Female,Professional,1
Hispanic,Non Binary,Professional,10
Asian,Non Binary,Academic,4
Black,Female,Academic,7
Black,Non Binary,Academic,2
Hispanic,Male,Professional,2
TBD - U,Not Declared,Professional,3
TBD - S,Not Declared,Academic,5
TBD - P,Not Declared,Academic,2
Asian,Non Binary,Professional,3
Asian,Female,Academic,3
White,Male,State Classified,3
TBD - I,Not Declared,Professional,2
Asian,Female,Academic,6
TBD - S,Male,Professional,10
TBD - I,Female,Professional,11
Hispanic,Not Declared,Professional,8
TBD - I,Non Binary,State Classified,0
TBD - S,Female,State Classified,2
Hispanic,Not Declared,Professional,2
Hispanic,Non Binary,Professional,6
TBD - I,Male,Academic,4
White,Female,State Classified,7
TBD - U,Male,State Classified,1
TBD - I,Non Binary,Professional,11
Asian,Male,Academic,11
TBD - U,Female,Academic,1
Black,Not Declared,State Classified,0
TBD - I,Female,State Classified,10
TBD - S,Non Binary,Academic,8
TBD - S,Female,Professional,4
TBD - P,Male,State Classified,11
Asian,Not Declared,State Classified,8
TBD - P,Male,Professional,10
TBD - S,Female,State Classified,9
Asian,Male,State Classified,12
White,Non Binary,State Classified,8
Black,Female,Professional,5
Black,Male,Academic,4
Black,Non Binary,State Classified,3
TBD - P,Not Declared,Professional,9
TBD - I,Non Binary,Professional,8
TBD - U,Non Binary,Academic,0
Asian,Female,Professional,1
TBD - I,Female,Professional,2
TBD - S,Female,State Classified,6
Black,Male,Professional,0
TBD - S,Not Declared,Professional,6
Asian,Female,Academic,0
TBD - P,Female,State Classified,13
TBD - S,Female,Academic,13
TBD - U,Female,Academic,8
White,Non Binary,State Classified,4
Asian,Non Binary,State Classified,1
Hispanic,Female,Professional,13
TBD - U,Not Declared,Academic,12
Asian,Non Binary,State Classified,5
TBD - I,Male,Professional,8
Black,Not Declared,Professional,4
TBD - S,Not Declared,Academic,4
White,Not Declared,Academic,0
Asian,Not Declared,Professional,10
Asian,Not Declared,Academic,5
Hispanic,Male,Professional,11
TBD - I,Female,State Classified,8
Asian,Female,State Classified,12
White,Male,Academic,2
Asian,Female,State Classified,3
TBD - I,Female,State Classified,4
White,Female,State Classified,0
TBD - P,Female,State Classified,0
Hispanic,Female,Professional,7
TBD - P,Female,State Classified,0
Hispanic,Not Declared,Academic,11
TBD - S,Male,Academic,7
TBD - I,Non Binary,Professional,5
TBD - U,Female,Professional,11
Black,Female,Academic,4
TBD - I,Female,Academic,9
Asian,Female,Professional,0
Asian,Female,Professional,6
White,Female,Professional,0
TBD - P,Not Declared,Professional,3
TBD - S,Non Binary,Academic,11
Asian,Not Declared,Professional,4
White,Non Binary,Academic,7
TBD - P,Female,Academic,11
TBD - U,Female,Professional,2
White,Female,Professional,12
TBD - P,Female,State Classified,3
White,Male,Professional,3
White,Not Declared,Professional,12
Asian,Not Declared,State Classified,4
TBD - S,Male,Academic,6
Hispanic,Male,State Classified,5
White,Female,Professional,4
Black,Male,Professional,1
TBD - I,Non Binary,State Classified,2
TBD - P,Not Declared,Professional,1
Asian,Not Declared,Professional,12
TBD - U,Male,Professional,8
Hispanic,Not Declared,Academic,10
TBD - S,Not Declared,Academic,0
TBD - U,Female,Professional,4
Asian,Female,Professional,8
TBD - P,Female,Professional,3
TBD - S,Not Declared,Professional,8
Asian,Female,Professional,8
Asian,Non Binary,Professional,12
White,Not Declared,Academic,3
Asian,Female,State Classified,12
White,Female,State Classified,8
TBD - P,Non Binary,Academic,3
TBD - U,Not Declared,Professional,2
Black,Non Binary,Professional,6
TBD - I,Female,State Classified,6
Asian,Not Declared,Professional,3
Asian,Non Binary,State Classified,2
TBD - U,Not Declared,Professional,6
TBD - S,Male,Professional,2
Black,Female,State Classified,12
Asian,Not Declared,Professional,5
Asian,Female,Academic,3
TBD - I,Female,Academic,2
TBD - I,Non Binary,Professional,11
TBD - S,Non Binary,Professional,3
Asian,Male,State Classified,6
White,Male,Professional,1
TBD - S,Male,Academic,11
Hispanic,Female,State Classified,8
TBD - U,Female,Professional,6
TBD - S,Not Declared,Professional,10
TBD - S,Not Declared,Professional,2
